%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457886405216844756,0.0,2.18999626509e+17,0.0,0.0,0.0,0.0,0.0
1457886405218836357,0.0,-2.18999626509e+17,0.0,0.0,0.0,0.0,0.0
1457886405220759489,0.0,-8.36504065545e+16,0.0,0.0,0.0,0.0,0.0
1457886405222724165,0.0,-3.19516103347e+16,0.0,0.0,0.0,0.0,0.0
1457886405224834076,0.0,-1.22044287445e+16,0.0,0.0,0.0,0.0,0.0
1457886405226720484,0.0,-4.66167697244e+15,0.0,0.0,0.0,0.0,0.0
1457886405228735185,0.0,-1.78060217287e+15,0.0,0.0,0.0,0.0,0.0
1457886405230762671,0.0,-6.80129479049e+14,0.0,0.0,0.0,0.0,0.0
1457886405232857941,0.0,-2.5978633139e+14,0.0,0.0,0.0,0.0,0.0
1457886405234745793,0.0,-9.92295486751e+13,0.0,0.0,0.0,0.0,0.0
1457886405236692439,0.0,-3.79023146353e+13,0.0,0.0,0.0,0.0,0.0
1457886405238733850,0.0,-1.44773952307e+13,0.0,0.0,0.0,0.0,0.0
1457886405240760388,0.0,-5.52987315405e+12,0.0,0.0,0.0,0.0,0.0
1457886405242738327,0.0,-2.11222344499e+12,0.0,0.0,0.0,0.0,0.0
1457886405244743528,0.0,-8.06797574144e+11,0.0,0.0,0.0,0.0,0.0
1457886405246718700,0.0,-3.08169244672e+11,0.0,0.0,0.0,0.0,0.0
1457886405248776317,0.0,-1.17710176256e+11,0.0,0.0,0.0,0.0,0.0
1457886405250764444,0.0,-44961284096.0,0.0,0.0,0.0,0.0,0.0
1457886405252740368,0.0,-17173682176.0,0.0,0.0,0.0,0.0,0.0
1457886405254729780,0.0,-6559762432.0,0.0,0.0,0.0,0.0,0.0
1457886405256743723,0.0,-2505606144.0,0.0,0.0,0.0,0.0,0.0
1457886405258752008,0.0,-957056384.0,0.0,0.0,0.0,0.0,0.0
1457886405260735006,0.0,-365563008.0,0.0,0.0,0.0,0.0,0.0
1457886405262725974,0.0,-139632640.0,0.0,0.0,0.0,0.0,0.0
1457886405264742711,0.0,-53334920.0,0.0,0.0,0.0,0.0,0.0
1457886405266715381,0.0,-20372126.0,0.0,0.0,0.0,0.0,0.0
1457886405268763037,0.0,-7781461.0,0.0,0.0,0.0,0.0,0.0
1457886405270693166,0.0,-2972254.5,0.0,0.0,0.0,0.0,0.0
1457886405272727576,0.0,-1135300.875,0.0,0.0,0.0,0.0,0.0
1457886405274720945,0.0,-433647.125,0.0,0.0,0.0,0.0,0.0
1457886405276805339,0.0,-165639.21875,0.0,0.0,0.0,0.0,0.0
1457886405278749150,0.0,-63269.328125,0.0,0.0,0.0,0.0,0.0
1457886405280734505,0.0,-24167.5117188,0.0,0.0,0.0,0.0,0.0
1457886405282763198,0.0,-9231.9453125,0.0,0.0,0.0,0.0,0.0
1457886405284764095,0.0,-3527.06689453,0.0,0.0,0.0,0.0,0.0
1457886405286729155,0.0,-1347.99731445,0.0,0.0,0.0,0.0,0.0
1457886405288733673,0.0,-515.666931152,0.0,0.0,0.0,0.0,0.0
1457886405290744639,0.0,-197.745056152,0.0,0.0,0.0,0.0,0.0
1457886405292686451,0.0,-76.3096923828,0.0,0.0,0.0,0.0,0.0
1457886405294725957,0.0,-29.9255142212,0.0,0.0,0.0,0.0,0.0
