%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457888162125936214,0.16726218164,0.266248762608,0.0,0.0,0.0,0.0,0.0
1457888162125957299,0.140720367432,-0.133963942528,0.0,0.0,0.0,0.0,0.0
1457888162127867887,0.322700560093,0.65572655201,0.0,0.0,0.0,0.0,0.0
1457888162129855954,0.0470658838749,0.199854671955,0.0,0.0,0.0,0.0,0.0
1457888162131956385,0.0413106009364,0.0522598624229,0.0,0.0,0.0,0.0,0.0
1457888162133969311,0.0429948717356,-0.0202804617584,0.0,0.0,0.0,0.0,0.0
1457888162135892682,0.128671169281,0.724519610405,0.0,0.0,0.0,0.0,0.0
1457888162137865269,0.0140101239085,0.257018923759,0.0,0.0,0.0,0.0,0.0
1457888162139899629,0.0146827297285,0.0963073968887,0.0,0.0,0.0,0.0,0.0
1457888162141879723,0.267551511526,1.05620384216,0.0,0.0,0.0,0.0,0.0
1457888162143895461,0.482018947601,1.37752246857,0.0,0.0,0.0,0.0,0.0
1457888162145932163,0.696574270725,1.44069898129,0.0,0.0,0.0,0.0,0.0
1457888162147913545,0.991886615753,1.3571614027,0.0,0.0,0.0,0.0,0.0
1457888162149921074,1.14653909206,1.27101802826,0.0,0.0,0.0,0.0,0.0
1457888162151932194,1.17129743099,1.2429639101,0.0,0.0,0.0,0.0,0.0
1457888162153918300,1.18012320995,1.22984337807,0.0,0.0,0.0,0.0,0.0
1457888162155959648,1.18486142159,1.22292208672,0.0,0.0,0.0,0.0,0.0
1457888162157934384,1.18768501282,1.21907019615,0.0,0.0,0.0,0.0,0.0
1457888162159910793,1.18940138817,1.21686017513,0.0,0.0,0.0,0.0,0.0
1457888162161897504,1.19044649601,1.21556818485,0.0,0.0,0.0,0.0,0.0
1457888162163825254,1.19108200073,1.21480369568,0.0,0.0,0.0,0.0,0.0
1457888162165875897,1.19400978088,1.21205914021,0.0,0.0,0.0,0.0,0.0
1457888162167912408,1.19573450089,1.21031832695,0.0,0.0,0.0,0.0,0.0
1457888162169900586,1.19675695896,1.20923304558,0.0,0.0,0.0,0.0,0.0
1457888162171859906,1.19736754894,1.20856308937,0.0,0.0,0.0,0.0,0.0
1457888162173888857,1.19773423672,1.20815217495,0.0,0.0,0.0,0.0,0.0
1457888162175963541,1.19795525074,1.20790112019,0.0,0.0,0.0,0.0,0.0
1457888162177939317,1.19808876514,1.20774805546,0.0,0.0,0.0,0.0,0.0
1457888162179863380,1.19816958904,1.207654953,0.0,0.0,0.0,0.0,0.0
1457888162181885602,1.19821846485,1.20759832859,0.0,0.0,0.0,0.0,0.0
1457888162183917109,1.19824814796,1.20756387711,0.0,0.0,0.0,0.0,0.0
1457888162185904978,1.19952368736,1.20640456676,0.0,0.0,0.0,0.0,0.0
1457888162187911898,1.20027589798,1.20565593243,0.0,0.0,0.0,0.0,0.0
1457888162189899508,1.20072305202,1.20518362522,0.0,0.0,0.0,0.0,0.0
1457888162191889391,1.20099067688,1.20488989353,0.0,0.0,0.0,0.0,0.0
1457888162193894239,1.20115172863,1.20470869541,0.0,0.0,0.0,0.0,0.0
1457888162195889460,1.20124900341,1.20459759235,0.0,0.0,0.0,0.0,0.0
1457888162197887663,1.2013078928,1.20452964306,0.0,0.0,0.0,0.0,0.0
1457888162199891103,1.20134353638,1.20448827744,0.0,0.0,0.0,0.0,0.0
1457888162201995972,1.20136511326,1.20446300507,0.0,0.0,0.0,0.0,0.0
1457888162203917829,1.20519006252,1.20933818817,0.0,0.0,0.0,0.0,0.0
1457888162205877218,1.20687651634,1.21101903915,0.0,0.0,0.0,0.0,0.0
