%time,field.header.seq,field.header.stamp,field.header.frame_id,field.altitude,field.voltage
1457888640492783311,81535,1457888640492607337,altitude sensor,1.63,0.163
1457888640523786107,81536,1457888640523600943,altitude sensor,1.64,0.164
1457888640554700810,81537,1457888640554564713,altitude sensor,1.65,0.165
1457888640586887011,81538,1457888640586657839,altitude sensor,1.62,0.162
1457888640617805982,81539,1457888640617650762,altitude sensor,1.63,0.163
1457888640648805274,81540,1457888640648678350,altitude sensor,1.62,0.162
1457888640679828769,81541,1457888640679679705,altitude sensor,1.62,0.162
1457888640711890818,81542,1457888640711708673,altitude sensor,1.62,0.162
1457888640742853251,81543,1457888640742698443,altitude sensor,1.63,0.163
1457888640774001132,81544,1457888640773780037,altitude sensor,1.62,0.162
1457888640805904344,81545,1457888640805739184,altitude sensor,1.64,0.164
1457888640836984482,81546,1457888640836789117,altitude sensor,1.63,0.163
1457888640867990379,81547,1457888640867817788,altitude sensor,1.61,0.161
1457888640899077352,81548,1457888640898834015,altitude sensor,1.63,0.163
1457888640931061718,81549,1457888640930824169,altitude sensor,1.65,0.165
1457888640962107600,81550,1457888640961871350,altitude sensor,1.66,0.166
1457888640993059278,81551,1457888640992875065,altitude sensor,1.66,0.166
1457888641025084253,81552,1457888641024876115,altitude sensor,1.69,0.169
1457888641056064853,81553,1457888641055882055,altitude sensor,1.72,0.172
1457888641087147979,81554,1457888641086880624,altitude sensor,1.73,0.173
1457888641119034505,81555,1457888641118916987,altitude sensor,1.72,0.172
1457888641150104120,81556,1457888641149940020,altitude sensor,1.74,0.174
1457888641181167152,81557,1457888641180972006,altitude sensor,1.78,0.178
1457888641212213977,81558,1457888641211985476,altitude sensor,1.8,0.18
1457888641244169574,81559,1457888641243972338,altitude sensor,1.83,0.183
1457888641275154238,81560,1457888641274996692,altitude sensor,1.86,0.186
1457888641306106433,81561,1457888641305997207,altitude sensor,1.9,0.19
1457888641338099906,81562,1457888641337978189,altitude sensor,1.92,0.192
1457888641369193398,81563,1457888641369012791,altitude sensor,1.93,0.193
1457888641400196883,81564,1457888641400043842,altitude sensor,1.98,0.198
1457888641431268921,81565,1457888641431082000,altitude sensor,2.02,0.202
1457888641463245163,81566,1457888641463093852,altitude sensor,2.06,0.206
1457888641494248702,81567,1457888641494095102,altitude sensor,2.11,0.211
1457888641525259400,81568,1457888641525118329,altitude sensor,2.16,0.216
1457888641557287878,81569,1457888641557130107,altitude sensor,2.19,0.219
1457888641588354703,81570,1457888641588146868,altitude sensor,2.23,0.223
1457888641619319885,81571,1457888641619159824,altitude sensor,2.24,0.224
1457888641651443546,81572,1457888641651249548,altitude sensor,2.26,0.226
1457888641682392882,81573,1457888641682242323,altitude sensor,2.29,0.229
1457888641713392246,81574,1457888641713232321,altitude sensor,2.34,0.234
1457888641744416807,81575,1457888641744269565,altitude sensor,2.37,0.237
1457888641776439910,81576,1457888641776247000,altitude sensor,2.39,0.239
1457888641807395479,81577,1457888641807236501,altitude sensor,2.43,0.243
1457888641838453996,81578,1457888641838244681,altitude sensor,2.46,0.246
1457888641870549944,81579,1457888641870335589,altitude sensor,2.47,0.247
1457888641901522443,81580,1457888641901323748,altitude sensor,2.47,0.247
1457888641932481826,81581,1457888641932323789,altitude sensor,2.53,0.253
1457888641964477028,81582,1457888641964318589,altitude sensor,2.56,0.256
1457888641995506871,81583,1457888641995347652,altitude sensor,2.62,0.262
1457888642026521406,81584,1457888642026341463,altitude sensor,2.65,0.265
1457888642057521081,81585,1457888642057367768,altitude sensor,2.71,0.271
1457888642089641340,81586,1457888642089411449,altitude sensor,2.77,0.277
1457888642120568270,81587,1457888642120406118,altitude sensor,2.78,0.278
1457888642151610758,81588,1457888642151442200,altitude sensor,2.78,0.278
1457888642183637039,81589,1457888642183443410,altitude sensor,2.82,0.282
1457888642214617871,81590,1457888642214449675,altitude sensor,2.88,0.288
1457888642245703002,81591,1457888642245473526,altitude sensor,2.9,0.29
1457888642276636852,81592,1457888642276473222,altitude sensor,2.92,0.292
1457888642308733129,81593,1457888642308527065,altitude sensor,2.96,0.296
1457888642339686740,81594,1457888642339505630,altitude sensor,3.01,0.301
1457888642370658772,81595,1457888642370505208,altitude sensor,3.05,0.305
1457888642402710500,81596,1457888642402554713,altitude sensor,3.05,0.305
1457888642433733192,81597,1457888642433576388,altitude sensor,3.08,0.308
1457888642464676393,81598,1457888642464534405,altitude sensor,3.11,0.311
1457888642496784702,81599,1457888642496582150,altitude sensor,3.13,0.313
1457888642527777068,81600,1457888642527611960,altitude sensor,3.16,0.316
1457888642558868019,81601,1457888642558655837,altitude sensor,3.2,0.32
1457888642589802074,81602,1457888642589630270,altitude sensor,3.25,0.325
1457888642621891099,81603,1457888642621693094,altitude sensor,3.28,0.328
1457888642652793526,81604,1457888642652653498,altitude sensor,3.36,0.336
1457888642683788810,81605,1457888642683676516,altitude sensor,3.37,0.337
1457888642715817360,81606,1457888642715689605,altitude sensor,3.43,0.343
1457888642746854703,81607,1457888642746695824,altitude sensor,3.46,0.346
1457888642777857586,81608,1457888642777717632,altitude sensor,3.49,0.349
1457888642809881811,81609,1457888642809760352,altitude sensor,3.55,0.355
1457888642840887084,81610,1457888642840769787,altitude sensor,3.58,0.358
1457888642871935665,81611,1457888642871800347,altitude sensor,3.61,0.361
1457888642902975213,81612,1457888642902792671,altitude sensor,3.64,0.364
1457888642935061351,81613,1457888642934805703,altitude sensor,3.67,0.367
1457888642965966752,81614,1457888642965828437,altitude sensor,3.7,0.37
1457888642997020959,81615,1457888642996854384,altitude sensor,3.74,0.374
1457888643028967011,81616,1457888643028860887,altitude sensor,3.76,0.376
1457888643060031777,81617,1457888643059887359,altitude sensor,3.8,0.38
1457888643091108625,81618,1457888643090914313,altitude sensor,3.83,0.383
1457888643122157279,81619,1457888643121932274,altitude sensor,3.87,0.387
1457888643154201962,81620,1457888643153967979,altitude sensor,3.88,0.388
1457888643185146577,81621,1457888643184974468,altitude sensor,3.9,0.39
1457888643216114758,81622,1457888643216003430,altitude sensor,3.92,0.392
1457888643248027084,81623,1457888643247937403,altitude sensor,3.99,0.399
1457888643279094163,81624,1457888643278985902,altitude sensor,4.03,0.403
1457888643310198824,81625,1457888643310030373,altitude sensor,4.08,0.408
1457888643342145820,81626,1457888643342037145,altitude sensor,4.13,0.413
1457888643373515194,81627,1457888643373091450,altitude sensor,4.18,0.418
1457888643404513510,81628,1457888643404101668,altitude sensor,4.23,0.423
1457888643435574880,81629,1457888643435230404,altitude sensor,4.25,0.425
1457888643467506078,81630,1457888643467219145,altitude sensor,4.27,0.427
1457888643498492215,81631,1457888643498163115,altitude sensor,4.33,0.433
1457888643529494745,81632,1457888643529180338,altitude sensor,4.36,0.436
1457888643560755182,81633,1457888643560386314,altitude sensor,4.41,0.441
1457888643592803866,81634,1457888643592418117,altitude sensor,4.45,0.445
1457888643623639847,81635,1457888643623312234,altitude sensor,4.5,0.45
1457888643654502176,81636,1457888643654280647,altitude sensor,4.52,0.452
1457888643686542872,81637,1457888643686277767,altitude sensor,4.53,0.453
1457888643717391695,81638,1457888643717254528,altitude sensor,4.57,0.457
1457888643748432074,81639,1457888643748284715,altitude sensor,4.6,0.46
1457888643780452463,81640,1457888643780304178,altitude sensor,4.64,0.464
1457888643811455622,81641,1457888643811307292,altitude sensor,4.69,0.469
1457888643842420945,81642,1457888643842324885,altitude sensor,4.73,0.473
1457888643873560720,81643,1457888643873372561,altitude sensor,4.78,0.478
1457888643905509456,81644,1457888643905362439,altitude sensor,4.84,0.484
1457888643936611055,81645,1457888643936392653,altitude sensor,4.88,0.488
1457888643967584666,81646,1457888643967418781,altitude sensor,4.9,0.49
1457888643999634799,81647,1457888643999414530,altitude sensor,4.95,0.495
1457888644030760429,81648,1457888644030520342,altitude sensor,4.98,0.498
1457888644061686690,81649,1457888644061456208,altitude sensor,5.02,0.502
1457888644093679811,81650,1457888644093511929,altitude sensor,5.06,0.506
1457888644124561276,81651,1457888644124410559,altitude sensor,5.08,0.508
1457888644155709489,81652,1457888644155540848,altitude sensor,5.12,0.512
1457888644186635251,81653,1457888644186481973,altitude sensor,5.15,0.515
1457888644218726409,81654,1457888644218539751,altitude sensor,5.16,0.516
1457888644249665490,81655,1457888644249516570,altitude sensor,5.19,0.519
1457888644280700521,81656,1457888644280535300,altitude sensor,5.23,0.523
1457888644312874171,81657,1457888644312574280,altitude sensor,5.27,0.527
1457888644343965469,81658,1457888644343629607,altitude sensor,5.3,0.53
1457888644374965553,81659,1457888644374599142,altitude sensor,5.33,0.533
